OS:0)ECN(R=Y%DF=Y%T=40%W=3908%O=M5B4NNSNW6%CC=Y%Q=)T1(R=Y%DF=Y%T=40%S=O%A=S
OS:+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=
OS:)T5(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=40%W=0%S=A%
OS:A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%
OS:DF=N%T=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=
OS:40%CD=S)
'
open	135	tcp	53024	Microsoft Windows Server 2003 SP2	98	Microsoft	Windows	general purpose	2003	
			61319	Microsoft Windows XP SP3	96	Microsoft	Windows	general purpose	XP	
			59381	Microsoft Windows XP SP2 or SP3	96	Microsoft	Windows	general purpose	XP	
			52182	Microsoft Windows Server 2003 SP1 or SP2	94	Microsoft	Windows	general purpose	2003	
			51794	Microsoft Windows Server 2003 SP1	94	Microsoft	Windows	general purpose	2003	
			57647	Microsoft Windows XP Professional SP2 or Windows Server 2003	93	Microsoft	Windows	general purpose	XP	
					93	Microsoft	Windows	general purpose	2003	
			50127	Microsoft Windows 2000 SP3/SP4 or Windows XP SP1/SP2	93	Microsoft	Windows	general purpose	2000	
					93	Microsoft	Windows	general purpose	XP	
			50096	Microsoft Windows 2000 SP2 - SP4, Windows XP SP2 - SP3, or Windows Server 2003 SP0 - SP2	92	Microsoft	Windows	general purpose	2000	
					92	Microsoft	Windows	general purpose	XP	
					92	Microsoft	Windows	general purpose	2003	
			51304	Microsoft Windows 2000 SP4 or Windows XP SP2 - SP3	92	Microsoft	Windows	general purpose	2000	
					92	Microsoft	Windows	general purpose	XP	
			58013	Microsoft Windows XP SP2	92	Microsoft	Windows	general purpose	XP	
										'OS:SCAN(V=6.46%E=4%D=11/25%OT=135%CT=1%CU=34349%PV=Y%DS=2%DC=I%G=Y%TM=5474E
OS:A44%P=i686-pc-windows-windows)SEQ(SP=100%GCD=1%ISR=10D%TI=I%CI=I%II=I%SS
OS:=S%TS=0)OPS(O1=M2300NW0NNT00NNS%O2=M2300NW0NNT00NNS%O3=M2300NW0NNT00%O4=
OS:M2300NW0NNT00NNS%O5=M2300NW0NNT00NNS%O6=M2300NNT00NNS)WIN(W1=FAF0%W2=FAF
OS:0%W3=FAF0%W4=FAF0%W5=FAF0%W6=FAF0)ECN(R=Y%DF=Y%T=80%W=FAF0%O=M2300NW0NNS
OS:%CC=N%Q=)T1(R=Y%DF=Y%T=80%S=O%A=S+%F=AS%RD=0%Q=)T2(R=Y%DF=N%T=80%W=0%S=Z
OS:%A=S%F=AR%O=%RD=0%Q=)T3(R=Y%DF=Y%T=80%W=FAF0%S=O%A=S+%F=AS%O=M2300NW0NNT
OS:00NNS%RD=0%Q=)T4(R=Y%DF=N%T=80%W=0%S=A%A=O%F=R%O=%RD=0%Q=)T5(R=Y%DF=N%T=
OS:80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=N%T=80%W=0%S=A%A=O%F=R%O=%RD=0
OS:%Q=)T7(R=Y%DF=N%T=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=80%IPL=B
OS:0%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=S%T=80%CD=Z)
'
open	135	tcp	53784	Microsoft Windows Server 2008 SP1	96	Microsoft	Windows	general purpose	2008	
			54005	Microsoft Windows Server 2008 SP2	96	Microsoft	Windows	general purpose	2008	
			54178	Microsoft Windows 7	96	Microsoft	Windows	general purpose	7	
			54612	Microsoft Windows 7 SP0 - SP1 or Windows Server 2008	96	Microsoft	Windows	general purpose	7	
